Date,Bitcoin Open,Bitcoin High,Bitcoin Low,Ethereum Open,Ethereum High,Ethereum Low,Tether Open,Tether High,Tether Low,Solana Open,Solana High,Solana Low,Cardano Open,Cardano High, Cardano Low,Binance Open,Binance High,Binance Low
"Dec 15, 2024",101373.53,105047.54,101227.03,3868.44,3971.50,3832.10,0.9997,1.0001,0.9992,219.84,225.07,215.91,1.060511,1.107088,1.042632,715.7,723.07,703.18
"Dec 14, 2024",101451.44,102618.88,100634.05,3910.85,3943.28,3826.76,1.0001,1.0003,0.9993,224.84,227.24,215.34,1.119602,1.13113,1.045928,726.25,731.66,705.54
"Dec 13, 2024",100046.65,101888.80,99233.28,3883.03,3967.40,3855.02,1.0001,1.0007,0.9993,227.03,228.27,220.82,1.125006,1.127485,1.081352,705.94,729.63,698.5
"Dec 12, 2024",101167.80,102524.91,99339.95,3833.17,3987.01,3800.09,1.0006,1.0011,0.9991,227.45,234.33,225.95,1.088849,1.17675,1.077265,711.81,725.22,700.11
"Dec 11, 2024",96656.06,101913.36,95747.23,3631.28,3850.77,3567.57,1.0007,1.0014,1,213.84,230.51,211.99,1.020292,1.109284,0.976946,676.98,712.88,660.15
"Dec 10, 2024",97441.23,98270.16,94321.26,3719.00,3780.75,3520.37,1.0005,1.0016,0.9998,217.33,220.74,203.72,1.007547,1.036173,0.914969,689.92,704.56,650.6
"Dec 9, 2024",101237.06,101272.51,94355.91,4006.10,4008.78,3525.23,1.0007,1.0024,0.9982,237.46,237.46,209.71,1.196296,1.196415,0.952205,743.3,743.3,662.24
"Dec 8, 2024",99921.91,101399.99,98771.52,4007.69,4018.00,3927.85,1.0009,1.0012,1.0002,239.49,241.44,233.71,1.214481,1.222152,1.176678,751.73,757.59,729.05
"Dec 7, 2024",99916.71,100563.38,99030.88,4006.03,4029.45,3974.18,1.0015,1.0018,1.0004,237.05,243.12,234.66,1.231081,1.234575,1.193021,732.01,761.09,730.87
"Dec 6, 2024",97074.23,102039.88,96514.88,3792.21,4093.17,3782.68,1.0011,1.0021,0.9996,236.54,246.42,231.43,1.163156,1.234642,1.143022,717.96,746.13,708.44
"Dec 5, 2024",98741.54,103900.47,91998.78,3840.84,3956.54,3683.42,1.0013,1.0026,0.9994,229.12,244.68,223.46,1.187235,1.238354,1.126287,739.25,739.95,695.94
"Dec 4, 2024",95988.53,99207.33,94660.52,3620.04,3895.17,3617.74,1.0009,1.0027,1.0002,234.2,240.72,225.25,1.198083,1.240175,1.149205,737.7,793.35,723.54
"Dec 3, 2024",95854.59,96297.20,93629.56,3643.74,3670.22,3504.23,1.0003,1.0013,0.9994,225.77,239.27,216.47,1.201791,1.318681,1.169829,647.7,744.78,625.97
"Dec 2, 2024",97276.01,98152.60,94482.87,3710.50,3761.34,3557.25,1.0008,1.0015,0.9997,237.07,237.88,220.55,1.155286,1.230685,1.061597,655.93,667.42,629.91
"Dec 1, 2024",96461.34,97888.13,95770.19,3706.62,3747.46,3663.23,1.0007,1.0012,1.0002,237.74,239.81,234.53,1.078936,1.158493,1.040986,654.33,664.29,646.6
"Nov 30, 2024",97468.81,97499.34,96144.22,3593.60,3739.93,3572.25,1.0004,1.0011,1.0002,243.55,245.24,237.72,1.076887,1.147085,1.053841,654.81,676.92,648.89
"Nov 29, 2024",95653.95,98693.17,95407.88,3579.91,3647.26,3538.45,1.0002,1.0015,0.9999,237.76,246.78,236.82,1.033508,1.097796,1.030457,654.36,663.32,649.16
"Nov 28, 2024",95954.95,96650.20,94677.35,3656.61,3664.88,3531.87,1.0009,1.0013,0.9998,242.3,245.2,233.2,1.013348,1.045769,0.977038,644.95,663.02,641.62
"Nov 27, 2024",91978.14,97361.18,91778.66,3326.03,3687.01,3303.57,0.9996,1.0017,0.9993,230.97,243.12,228.13,0.961184,1.036714,0.935438,613.59,646.85,608.62
"Nov 26, 2024",93087.28,94991.75,90770.81,3412.95,3461.29,3255.54,0.9999,1.0014,0.999,234.45,239.64,222.96,0.945684,0.988377,0.879721,636.64,645.29,600.99
"Nov 25, 2024",98033.45,98935.03,92642.91,3364.60,3545.28,3304.09,1.001,1.0014,0.9991,252.92,256.42,231.55,1.023112,1.06992,0.93355,660.32,675.96,627.27
"Nov 24, 2024",97778.09,98647.18,95788.08,3397.00,3451.80,3288.43,1.0009,1.0015,0.9995,255.18,259.63,243.12,1.0662,1.09454,0.948341,651.2,687.34,638.92
"Nov 23, 2024",99006.74,99014.68,97232.89,3331.65,3499.37,3317.65,1.0011,1.0027,0.9999,256.52,263.83,253.19,1.010422,1.141682,1.010417,633.51,679.42,632.25
"Nov 22, 2024",98496.43,99655.50,97222.66,3360.65,3428.46,3262.81,1.0011,1.0016,0.9994,257.08,263.7,252.14,0.820486,1.038425,0.815233,622.83,639.73,617.45
"Nov 21, 2024",94334.64,99014.22,94132.60,3072.06,3388.54,3035.85,1.0007,1.0015,0.999,235.43,259.05,230.34,0.800342,0.820547,0.770386,606.12,629.36,594.55
"Nov 20, 2024",92341.89,94902.02,91619.50,3111.12,3159.95,3032.60,1.0014,1.0018,0.9996,238.09,242.11,230.91,0.739637,0.846629,0.739472,615.99,620.47,600.77
"Nov 19, 2024",90536.81,94002.87,90426.98,3208.25,3222.00,3070.36,1.0006,1.0016,0.9997,239.8,247.09,234.15,0.73458,0.763529,0.723858,619.44,621.58,606.56
"Nov 18, 2024",89843.72,92596.79,89393.59,3075.72,3225.13,3052.49,1.0002,1.0013,0.9997,237.58,248.19,234.4,0.702301,0.779658,0.702262,618.4,629.1,613.06
"Nov 17, 2024",90558.46,91433.04,88741.66,3133.31,3160.15,3039.25,1.0003,1.0007,0.9995,215.85,241.24,212.73,0.738731,0.767812,0.697027,622.37,646.45,606.19
"Nov 16, 2024",91064.37,91763.95,90094.23,3089.74,3218.09,3073.29,1.0003,1.0008,0.9996,218.57,221.66,213.8,0.703398,0.811656,0.703316,618.99,633.49,617.87
"Nov 15, 2024",87284.18,91868.74,87124.90,3059.53,3130.70,3016.14,1,1.0010,0.9992,209.24,219.54,204.83,0.580137,0.689216,0.578542,621.68,628.17,604.23
"Nov 14, 2024",90574.88,91765.22,86682.81,3192.52,3240.27,3032.97,1.0013,1.0015,0.9994,215.18,222.64,207.5,0.578775,0.598058,0.545862,621,659.53,612.53
"Nov 13, 2024",87929.97,93434.35,86256.93,3244.54,3337.88,3121.67,1.001,1.0027,0.9998,212.21,220.34,201.47,0.573943,0.605301,0.521302,627,638.89,600.52
"Nov 12, 2024",88705.56,89956.88,85155.11,3375.15,3444.15,3211.20,1.001,1.0020,0.9992,222.64,225.01,205.45,0.613808,0.649633,0.558212,661.89,666.92,613.62
"Nov 11, 2024",80471.41,89604.50,80283.25,3191.66,3389.53,3109.77,1.0008,1.0024,0.9997,210.61,223.22,204.56,0.590305,0.622249,0.567807,628.3,664.14,614.02
"Nov 10, 2024",76775.55,81474.42,76565.43,3130.73,3249.91,3073.25,1.0005,1.0013,0.999,200.2,215.18,198.98,0.493678,0.652301,0.489937,624.37,643.66,613.57
"Nov 9, 2024",76556.19,76932.77,75773.79,2962.79,3156.37,2957.18,1.0005,1.0008,0.9998,199.94,203.35,195.47,0.443817,0.493895,0.428969,597.95,637.84,597.85
"Nov 8, 2024",75902.84,77252.75,75648.74,2895.60,2983.74,2889.48,1.0007,1.0015,0.9998,196.33,204.97,196.02,0.405013,0.457889,0.404759,598.44,605.92,589.55
"Nov 7, 2024",75637.09,76943.12,74480.42,2724.01,2918.74,2701.59,1.0008,1.0018,0.9997,186.95,197.9,186.14,0.363323,0.405013,0.362033,592,610.32,588.66
"Nov 6, 2024",69358.50,76460.16,69322.03,2422.54,2743.96,2421.81,1,1.0018,0.9989,166.72,189.92,166.7,0.333926,0.365032,0.333921,563.61,594.86,563.28
"Nov 5, 2024",67811.17,70522.79,67458.87,2397.04,2478.62,2380.60,0.9995,1.0010,0.9991,157.75,169.13,156.99,0.326027,0.337894,0.326013,552.07,571.97,551.25
"Nov 4, 2024",68742.13,69433.18,66803.65,2456.10,2488.35,2359.58,0.9996,1.0006,0.9989,162.55,164.71,155.17,0.334285,0.336085,0.321399,557.64,564.2,543.91
"Nov 3, 2024",69296.38,69361.66,67482.52,2491.09,2495.44,2411.40,0.9997,1.0007,0.9993,166.01,166.38,158.14,0.347764,0.347911,0.329236,568.04,569.05,547.82
"Nov 2, 2024",69486.02,69867.35,69033.72,2512.21,2522.36,2471.96,0.9995,1.0005,0.9993,166.26,168.46,162.39,0.357093,0.362871,0.346304,572.76,576.42,562.95
"Nov 1, 2024",70216.90,71559.02,68779.70,2515.87,2583.78,2467.82,0.9987,1.0006,0.9982,168.43,173.85,164.03,0.341846,0.361007,0.335418,576.03,584.8,568.16
"Oct 31, 2024",72335.05,72662.31,69590.50,2657.21,2667.56,2501.57,0.9996,1.0006,0.9982,174.93,176.28,167.58,0.355265,0.360552,0.341094,595.73,596.07,571.43
"Oct 30, 2024",72715.37,72905.30,71411.73,2637.64,2720.27,2600.61,0.9997,1.0008,0.9985,179.36,181.15,173.4,0.355655,0.363026,0.351304,605.67,606.07,594.45
"Oct 29, 2024",69910.05,73577.21,69729.91,2565.42,2680.05,2560.15,0.9993,1.0003,0.9988,178.1,183.04,176.86,0.343794,0.356191,0.343246,600.6,611.78,599.95
"Oct 28, 2024",67922.67,70212.27,67535.13,2505.59,2587.43,2470.27,0.9987,1.0003,0.9983,176.55,179.41,172.87,0.339872,0.346958,0.33123,588.72,603.72,585.12
"Oct 27, 2024",67023.48,68221.31,66847.23,2479.94,2523.17,2462.27,0.9989,0.9996,0.9983,170.71,177.9,170.19,0.333351,0.34138,0.331356,582.81,590.12,581.26
"Oct 26, 2024",66628.73,67317.92,66360.59,2436.05,2503.23,2427.46,0.998,1.0000,0.9978,164.76,172.82,162.44,0.324414,0.333894,0.321568,574.25,586.17,571.33
"Oct 25, 2024",68165.30,68722.16,65521.79,2534.45,2563.73,2381.45,0.9995,1.0002,0.9969,177.16,177.19,160.04,0.346322,0.346492,0.320475,594.15,596.95,567.06
"Oct 24, 2024",66653.70,68798.96,66454.10,2523.61,2559.15,2506.72,0.999,1.0000,0.9985,171.11,179,170.52,0.349905,0.354364,0.340196,584.65,597.53,583.03
"Oct 23, 2024",67362.38,67402.74,65188.04,2620.09,2624.45,2457.17,0.9994,1.0002,0.9984,167.26,173.82,164.19,0.36382,0.368221,0.343327,593.36,593.81,573.09
"Oct 22, 2024",67360.70,67801.58,66581.37,2665.66,2669.79,2605.62,0.9997,1.0005,0.999,166.22,170.76,163.29,0.360958,0.367268,0.355866,598.82,599.52,587.2
"Oct 21, 2024",69002.00,69462.73,66829.85,2746.31,2765.55,2655.29,0.9997,1.0005,0.999,166.94,171.43,161.81,0.364842,0.371905,0.353499,605.52,610.92,591.7
"Oct 20, 2024",68364.18,69359.01,68105.72,2648.67,2756.44,2635.95,1,1.0003,0.9993,159.64,167.59,157.77,0.35166,0.365148,0.348623,597.97,606.32,593.74
"Oct 19, 2024",68418.98,68668.01,68024.64,2641.49,2661.87,2631.66,0.9999,1.0002,0.9992,154.98,159.71,153.91,0.350709,0.356633,0.349649,599.36,601,595.73
"Oct 18, 2024",67419.11,68969.75,67177.82,2604.81,2674.37,2595.96,0.9997,1.0006,0.9991,150.32,156.54,149.7,0.343027,0.352515,0.34291,592.04,602.17,591.7
"Oct 17, 2024",67617.08,67912.21,66647.39,2611.19,2646.87,2577.31,0.9998,1.0008,0.9992,154.24,155.55,147.94,0.352527,0.354558,0.340342,600.82,605.83,585.72
"Oct 16, 2024",67042.46,68375.29,66758.73,2606.02,2644.85,2589.61,0.9998,1.0008,0.9994,154.72,158.14,153.08,0.358527,0.360392,0.351416,594.19,605.1,589.93
"Oct 15, 2024",66050.37,67881.68,64809.20,2629.02,2685.17,2537.94,0.9995,1.0011,0.9992,157.45,158.72,150.91,0.36389,0.369449,0.349057,588.9,598.89,578.49
"Oct 14, 2024",62848.40,66482.49,62442.15,2467.65,2652.88,2443.55,0.9995,1.0006,0.9981,147.57,157.75,147.01,0.348035,0.364846,0.342888,571.82,591.41,569.97
"Oct 13, 2024",63192.95,63272.65,62035.64,2476.52,2484.13,2436.97,0.9998,1.0008,0.9993,146.5,148.71,144.62,0.353215,0.358854,0.344653,576.45,578.06,565.13
"Oct 12, 2024",62444.62,63448.79,62443.27,2436.52,2488.24,2434.20,0.9997,1.0011,0.9994,145.38,147.14,144.76,0.351184,0.356131,0.351184,572.86,578.71,572.86
"Oct 11, 2024",60275.46,63400.87,60046.13,2383.94,2470.40,2380.50,0.9992,1.0008,0.9988,138.89,146.43,138.76,0.338894,0.354589,0.338572,562.73,577.13,560.07
"Oct 10, 2024",60581.93,61236.72,58895.21,2368.27,2417.29,2329.78,0.9991,1.0003,0.9985,139.31,140.58,135.58,0.339694,0.341166,0.332074,570.28,572.06,551.78
"Oct 9, 2024",62131.73,62508.84,60314.61,2439.84,2470.91,2350.95,0.9994,1.0008,0.9988,143.4,145.13,138.8,0.344517,0.347523,0.334501,580.4,585.07,567.14
"Oct 8, 2024",62221.64,63174.30,61843.56,2421.98,2464.13,2400.51,0.9998,1.0008,0.9991,143.99,145.45,141.24,0.351467,0.356542,0.341621,564.15,585.97,560.29
"Oct 7, 2024",62819.11,64443.71,62152.55,2439.94,2520.41,2405.13,0.9998,1.0011,0.9994,146.44,152.1,143.6,0.35723,0.367677,0.351054,570.54,580.98,564.12
"Oct 6, 2024",62084.99,62959.57,61833.15,2415.53,2456.63,2407.10,1,1.0012,0.9995,142.71,146.62,142.11,0.35072,0.358203,0.348353,563.21,571.43,561.59
"Oct 5, 2024",62067.61,62371.02,61689.58,2414.85,2427.52,2390.84,1.0001,1.0010,0.9996,143.17,144.83,141.17,0.351398,0.355478,0.345982,555.38,564.82,552.34
"Oct 4, 2024",60754.63,62465.99,60459.94,2349.73,2440.24,2339.87,0.9999,1.0012,0.9995,136.79,144.43,136.08,0.345237,0.355605,0.343381,544.42,557.41,542.28
"Oct 3, 2024",60632.48,61469.04,59878.80,2365.21,2402.86,2311.03,0.9997,1.0015,0.9995,140.38,142.81,133.55,0.343988,0.349249,0.333255,542.71,550.51,535.38
"Oct 2, 2024",60836.32,62357.69,59996.95,2448.88,2498.12,2354.54,0.9998,1.0015,0.9995,145.29,148.83,138.92,0.352442,0.362121,0.336627,548,558,536.15
"Oct 1, 2024",63335.61,64110.98,60189.28,2603.26,2657.62,2415.08,0.9998,1.0018,0.9991,152.62,157.26,142.84,0.373214,0.385675,0.347331,567.26,582.43,538.48
"Sep 30, 2024",65634.66,65635.05,62873.62,2659.29,2662.49,2576.98,1.0001,1.0014,0.9995,158.63,159.51,152.02,0.3976,0.397621,0.371829,596.41,596.44,564.65
"Sep 29, 2024",65888.90,66069.34,65450.02,2677.63,2683.45,2635.58,1.0002,1.0019,0.9999,156.91,161.62,155.24,0.401051,0.40395,0.393626,601.57,602.66,593.05
"Sep 28, 2024",65792.18,66255.53,65458.04,2695.82,2704.93,2652.25,1.0002,1.0012,0.9999,157.75,159.35,155.3,0.402324,0.405639,0.39358,607.87,617.33,595.21
"Sep 27, 2024",65180.66,66480.70,64852.99,2632.24,2728.07,2616.95,1.0002,1.0018,0.9998,155.58,160.98,154.13,0.401881,0.414669,0.400441,596.78,614.47,596.5
"Sep 26, 2024",63138.55,65790.80,62669.27,2579.22,2665.99,2559.95,0.9998,1.0015,0.9996,148.02,157.86,146.87,0.381083,0.403323,0.378772,587.35,608.85,581.23
"Sep 25, 2024",64302.59,64804.50,62945.38,2654.36,2672.46,2557.72,1,1.0013,0.9996,152.89,153.55,147.45,0.387732,0.392982,0.379394,606.52,607.76,584.86
"Sep 24, 2024",63326.84,64695.21,62737.42,2648.48,2671.28,2593.15,1,1.0014,0.9997,144.81,153.54,143.3,0.363735,0.391218,0.358972,604.37,612.61,600.27
"Sep 23, 2024",63643.10,64733.56,62628.08,2582.77,2701.68,2541.91,1.0001,1.0014,0.9997,144.8,148.97,142.64,0.351772,0.36522,0.347138,588.09,615.72,585.51
"Sep 22, 2024",63396.80,63993.42,62440.73,2615.85,2632.04,2528.52,1.0004,1.0015,0.9998,149.53,149.87,141.38,0.358594,0.359063,0.343733,589.04,593.95,577.45
"Sep 21, 2024",63184.34,63543.36,62783.11,2560.88,2621.62,2530.84,1.0001,1.0011,0.9999,146.57,149.84,144.8,0.352113,0.359556,0.351078,568.58,590.03,566.81
"Sep 20, 2024",62941.43,64119.53,62364.61,2464.78,2571.99,2439.38,1.0002,1.0013,0.9997,142.84,151.76,141.32,0.350946,0.360931,0.34952,566.22,576.91,559.64
"Sep 19, 2024",61651.16,63872.44,61609.87,2369.37,2492.20,2369.37,1.0001,1.0019,0.9997,133.99,143.9,133.99,0.342939,0.356167,0.342939,559.04,571.72,553.51
"Sep 18, 2024",60309.00,61664.07,59218.25,2341.73,2369.73,2278.66,1.0001,1.0020,0.9997,131.54,133.99,127.25,0.333913,0.342936,0.328085,546.01,559.04,537.51
"Sep 17, 2024",58192.51,61316.09,57628.07,2295.28,2392.15,2263.79,0.9999,1.0016,0.9996,131.47,135.49,130.48,0.330305,0.342838,0.328897,533.81,552.5,529.42
"Sep 16, 2024",59185.23,59205.51,57501.34,2320.89,2334.79,2253.72,1.0001,1.0017,0.9995,131.5,132.3,129.14,0.338524,0.338546,0.326967,553.97,554.7,527.44
"Sep 15, 2024",60000.73,60381.92,58696.31,2418.27,2430.38,2286.63,1.0002,1.0011,0.9998,137.18,137.92,130.97,0.35448,0.355997,0.335722,553.57,561.58,552.36
"Sep 14, 2024",60569.12,60656.72,59517.88,2441.58,2442.63,2386.98,1.0007,1.0022,1,139.1,139.73,135.94,0.3609,0.361754,0.352568,557.02,559.39,548.87
"Sep 13, 2024",58130.32,60648.02,57650.11,2361.74,2462.80,2338.14,1,1.0017,0.9996,136.14,139.83,131.86,0.356293,0.364548,0.350782,544.3,559.51,539.06
"Sep 12, 2024",57343.17,58534.36,57330.10,2339.84,2390.19,2316.16,1.0001,1.0015,0.9994,132.5,136.61,132.44,0.353054,0.360463,0.35278,530.19,547.79,530.15
"Sep 11, 2024",57650.29,57991.32,55567.34,2389.60,2389.72,2279.05,1,1.0016,0.9993,135.63,135.8,128.43,0.343477,0.356425,0.330506,517.48,534.51,507.24
"Sep 10, 2024",57020.10,58029.98,56419.41,2358.50,2398.50,2323.07,1.0002,1.0013,0.9996,135.03,137.81,132.63,0.343406,0.345437,0.337873,518.55,523.91,514.02
"Sep 9, 2024",54851.89,58041.13,54598.43,2297.90,2379.79,2274.12,1.0001,1.0017,0.9996,129.99,136.19,127.22,0.338654,0.348382,0.338514,503,524.61,501.98
"Sep 8, 2024",54147.93,55300.86,53653.76,2274.44,2332.36,2243.91,0.9999,1.0013,0.9996,127.72,131.52,126.81,0.325071,0.340581,0.324164,493.23,506.43,491.03
"Sep 7, 2024",53949.09,54838.14,53740.07,2223.93,2310.19,2222.10,0.9998,1.0015,0.9995,124.99,129.29,124.27,0.314719,0.32762,0.314713,486.9,499.11,483.26
"Sep 6, 2024",56160.19,56976.11,52598.70,2367.70,2406.51,2150.86,0.9997,1.0013,0.9986,129.33,134.17,121.06,0.325062,0.331321,0.305104,502.07,508.82,473.17
"Sep 5, 2024",57971.70,58300.58,55712.45,2448.99,2465.39,2348.86,1,1.0015,0.9993,133.6,135.09,128.14,0.323524,0.339151,0.320173,507.82,512.63,497.35
"Sep 4, 2024",57430.35,58511.57,55673.16,2420.19,2488.92,2313.27,0.9997,1.0015,0.9995,127.58,134.87,123.61,0.318544,0.329102,0.308293,518.64,523.47,496.44
"Sep 3, 2024",59106.19,59815.06,57425.17,2538.16,2552.80,2419.88,0.9999,1.0010,0.9994,135,137.14,127.57,0.335966,0.339409,0.318551,526.44,537.96,518.67
"Sep 2, 2024",57326.97,59403.07,57136.03,2427.97,2563.09,2426.10,1,1.0017,0.9996,128.69,135.35,127.27,0.33174,0.336962,0.325705,512.6,529.02,502.17
"Sep 1, 2024",58969.80,59062.07,57217.82,2513.42,2515.47,2401.89,0.9999,1.0017,0.9992,135.37,136,128.24,0.345351,0.345634,0.328862,532.9,532.98,508.72
"Aug 31, 2024",59117.48,59432.59,58768.79,2525.86,2532.39,2493.71,1,1.0011,0.9996,138.1,138.99,134.64,0.347154,0.350115,0.345037,535.32,541.17,531.63
"Aug 30, 2024",59388.60,59896.89,57768.53,2528.73,2539.92,2432.83,1.0001,1.0019,0.9994,140.05,141.01,132.45,0.357049,0.36158,0.338823,536.63,542.81,523.06
"Aug 29, 2024",59027.47,61184.08,58786.23,2528.36,2595.98,2507.50,1.0002,1.0024,0.9998,143.89,147.22,138.27,0.350191,0.367355,0.349872,536.82,545.46,532.3
"Aug 28, 2024",59507.93,60236.45,57890.68,2458.90,2553.82,2422.29,1.0003,1.0019,0.9993,146.9,148.69,140.97,0.350511,0.360189,0.34203,533.98,546.11,523.77
"Aug 27, 2024",62879.71,63210.80,58116.75,2681.62,2700.15,2401.18,1.0002,1.0021,0.9994,157.24,159.62,145.66,0.366952,0.372491,0.346269,548.83,558.21,523.44
"Aug 26, 2024",64342.23,64489.71,62849.56,2749.25,2763.00,2668.89,1.0005,1.0019,1,158.91,161.91,155.88,0.384976,0.387676,0.366955,574.25,575.98,547.23
"Aug 25, 2024",64176.37,64996.42,63833.52,2769.10,2793.01,2736.09,1.0004,1.0016,1.0001,160.73,161.95,155.51,0.39401,0.394026,0.378712,580.76,583.94,569.9
"Aug 24, 2024",64103.87,64513.79,63619.92,2765.48,2820.02,2737.78,1.0008,1.0017,1.0001,153.11,162.17,152.15,0.391526,0.401177,0.388484,591.81,592.77,575.84
"Aug 23, 2024",60380.95,64947.06,60372.05,2622.92,2799.33,2622.58,1.0002,1.0019,0.9997,143.26,153.77,143.16,0.376538,0.392283,0.374217,583.05,597.54,575.77
"Aug 22, 2024",61168.32,61408.11,59815.25,2630.86,2644.82,2587.11,1.0002,1.0015,0.9999,142.71,144.81,140.93,0.36906,0.377194,0.364739,570.02,589.42,561.22
"Aug 21, 2024",59014.99,61834.35,58823.45,2573.11,2662.95,2538.66,1.0001,1.0017,0.9994,142.33,144.16,139.27,0.343685,0.377266,0.343478,569.27,575.09,547.61
"Aug 20, 2024",59493.45,61396.33,58610.88,2637.31,2695.91,2556.75,1.0005,1.0016,0.9999,144.35,148.65,141.36,0.336784,0.348154,0.336232,559.82,574.56,559.11
"Aug 19, 2024",58480.71,59612.66,57864.71,2612.72,2648.28,2566.40,1.0004,1.0018,0.9998,142.59,145.92,140.75,0.334831,0.337545,0.328842,531.61,560.66,529.61
"Aug 18, 2024",59468.13,60262.72,58445.40,2614.11,2684.03,2596.74,1,1.0015,0.9999,141.8,146.96,140.96,0.336887,0.339598,0.333796,542.23,542.4,531.24
"Aug 17, 2024",58893.53,59694.67,58814.83,2593.17,2626.67,2588.79,1.0003,1.0014,0.9999,139.33,141.96,137.87,0.330472,0.338604,0.328515,519.97,547.16,518.94
"Aug 16, 2024",57560.27,59847.36,57110.02,2570.09,2629.38,2553.07,1.0002,1.0015,0.9996,142.74,144.8,136.38,0.325353,0.344953,0.321019,519.87,524.37,511.04
"Aug 15, 2024",58733.26,59838.65,56161.59,2662.89,2675.31,2518.67,1.0003,1.0015,0.9996,143.92,147.35,138.16,0.335456,0.341368,0.321484,524.02,533.64,511.61
"Aug 14, 2024",60611.05,61687.76,58472.88,2703.59,2775.28,2636.71,1.0003,1.0019,0.9998,146.71,151.73,142.72,0.340146,0.345194,0.332437,524.13,531.51,516.51
"Aug 13, 2024",59356.21,61572.40,58506.25,2724.30,2737.99,2613.80,1.0003,1.0019,0.9996,146.45,149.61,143.15,0.338977,0.344656,0.33189,518.54,525.69,514.55
"Aug 12, 2024",58719.39,60680.33,57688.90,2553.50,2749.14,2513.39,1,1.0018,0.9998,141.53,150.81,141.44,0.328319,0.343978,0.328052,503.8,523.54,500.23
"Aug 11, 2024",60944.89,61778.66,58348.82,2609.97,2718.80,2544.17,1.0002,1.0018,0.9998,153.96,157.93,141.35,0.346292,0.356275,0.328037,523.32,535.54,503.23
"Aug 10, 2024",60881.23,61464.51,60287.57,2599.58,2642.93,2580.66,1.0006,1.0019,1,156.46,158.59,152.87,0.348547,0.351765,0.345273,509.18,524.96,507.85
"Aug 9, 2024",61728.21,61751.86,59587.86,2683.72,2706.45,2555.23,1.0005,1.0017,0.9996,162.93,163.25,151.23,0.351814,0.35387,0.337508,517.34,517.72,500.18
